finalizer,fixed_per_message_latency_ms,decision_deadline_ms,feedback_minus_one_way_timely_coverage_pp,one_way_timely_coverage,feedback_timely_coverage,one_way_false_safe_rate,feedback_false_safe_rate,feedback_deadline_caused_abstention_probability,both_zero_timely_coverage,feedback_evidence_traffic_saving_percent,baseline_operating_point
sender,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6274138710312931,True,13.76771282320457,False
sender,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.6274138710312931,True,13.76771282320457,False
sender,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6274138710312931,True,13.76771282320457,False
sender,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6268308925172942,True,13.76771282320457,False
sender,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,11.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0005829785139989257,False,13.76771282320457,False
sender,0.5,11.0,0.0,0.0,0.0,0.0,0.0,0.6274138710312931,True,13.76771282320457,False
sender,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6274138710312931,True,13.76771282320457,False
sender,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6268308925172942,True,13.76771282320457,False
sender,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,12.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,12.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0005829785139989257,False,13.76771282320457,False
sender,1.0,12.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.6274138710312931,False,13.76771282320457,False
sender,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6268308925172942,True,13.76771282320457,False
sender,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
