path_id,required_evidence_set,finalizer,interaction,channel_profile,clearance_modality,no_motion_modality,observation_correlation,record_encoding,shared_encoding_effective,unconditional_coverage,safe_world_coverage,selective_risk,false_safe_rate,mean_record_cost_kib,mean_safe_world_record_cost_kib
pi1,Visual clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,visual,0.0,separate,False,0.5338055844,0.6430436100000001,0.024241522903033906,0.06810663315789474,17.820000000000004,17.82
pi1,Visual clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,visual,0.0,shared,True,0.5338055844,0.6430436100000001,0.024241522903033906,0.06810663315789474,9.881190000000004,9.881189999999998
pi1,Visual clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,visual,0.25,separate,False,0.5486335173000001,0.6609059325000001,0.024241522903033903,0.06999848407894739,17.820000000000004,17.82
pi1,Visual clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,visual,0.25,shared,True,0.5486335173000001,0.6609059325000001,0.024241522903033903,0.06999848407894739,9.660667499999999,9.660667499999999
pi1,Visual clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,visual,0.5,separate,False,0.5634614502000002,0.678768255,0.024241522903033903,0.07189033500000001,17.82,17.820000000000004
pi1,Visual clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,visual,0.5,shared,True,0.5634614502000002,0.678768255,0.024241522903033903,0.07189033500000001,9.440145000000005,9.440144999999998
pi2,Visual clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,radio,0.0,separate,False,0.5041497186,0.607318965,0.024241522903033906,0.06432293131578949,9.7515,9.7515
pi2,Visual clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,radio,0.0,shared,False,0.5041497186,0.607318965,0.024241522903033906,0.06432293131578949,9.7515,9.7515
pi2,Visual clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,radio,0.25,separate,False,0.5217984888580977,0.6285793812835502,0.0242415229030339,0.06657468430748452,9.7515,9.751500000000002
pi2,Visual clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,radio,0.25,shared,False,0.5217984888580977,0.6285793812835502,0.0242415229030339,0.06657468430748452,9.7515,9.751500000000002
pi2,Visual clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,radio,0.5,separate,False,0.5394472591161953,0.6498397975671003,0.02424152290303391,0.06882643729917956,9.7515,9.7515
pi2,Visual clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,visual,radio,0.5,shared,False,0.5394472591161953,0.6498397975671003,0.02424152290303391,0.06882643729917956,9.7515,9.7515
pi3,Radio clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,visual,0.0,separate,False,0.5041497186,0.6073189650000002,0.024241522903033906,0.06432293131578949,9.751499999999998,9.751500000000002
pi3,Radio clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,visual,0.0,shared,False,0.5041497186,0.6073189650000002,0.024241522903033906,0.06432293131578949,9.751499999999998,9.751500000000002
pi3,Radio clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,visual,0.25,separate,False,0.5217984888580977,0.6285793812835502,0.0242415229030339,0.06657468430748452,9.751500000000002,9.7515
pi3,Radio clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,visual,0.25,shared,False,0.5217984888580977,0.6285793812835502,0.0242415229030339,0.06657468430748452,9.751500000000002,9.7515
pi3,Radio clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,visual,0.5,separate,False,0.5394472591161953,0.6498397975671003,0.02424152290303391,0.06882643729917956,9.7515,9.751500000000002
pi3,Radio clearance + Visual no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,visual,0.5,shared,False,0.5394472591161953,0.6498397975671003,0.02424152290303391,0.06882643729917956,9.7515,9.751500000000002
pi4,Radio clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,radio,0.0,separate,False,0.4761414009,0.5735790225,0.024241522903033906,0.06074943513157893,1.683,1.6830000000000003
pi4,Radio clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,radio,0.0,shared,True,0.4761414009,0.5735790225,0.024241522903033906,0.06074943513157893,0.9748777500000001,0.9748777500000001
pi4,Radio clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,radio,0.25,separate,False,0.49714763917500004,0.598883979375,0.0242415229030339,0.06342955726973684,1.683,1.683
pi4,Radio clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,radio,0.25,shared,True,0.49714763917500004,0.598883979375,0.0242415229030339,0.06342955726973684,0.9436370625000001,0.9436370625000001
pi4,Radio clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,radio,0.5,separate,False,0.5181538774500001,0.6241889362499998,0.0242415229030339,0.06610967940789471,1.6830000000000003,1.6829999999999996
pi4,Radio clearance + Radio no-motion,receiver,one_way,evidence_layer_perfect_delivery,radio,radio,0.5,shared,True,0.5181538774500001,0.6241889362499998,0.0242415229030339,0.06610967940789471,0.9123963750000004,0.9123963750000003
