evidence_relation_error,finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
0.0,sender,one_way,reference_manifest,reference_manifest,0.6366131739,0.785942190000001,0.0,0.0,0.0,10036.223999999998,9.800999999999998,10036.22400000001,9.801000000000009,11.40112,0.0,0.0,0.20611900000000064,0.0,0.007938810000000017,0.0,0.21405781000000063,0.0,0.785942190000001,1
0.0,sender,feedback,reference_manifest,reference_manifest,0.7472833333998277,0.9225720165429981,0.0,0.0,0.0,9612.003116965718,9.386721793911834,10533.680306772494,10.286797174582514,11.90112,0.136629826542997,0.0,0.06810907419899313,0.0,0.00931890925801009,0.0,0.07742798345700323,0.0,0.9225720165429981,2
0.0,receiver,one_way,reference_manifest,reference_manifest,0.7484012137988159,0.9239521158010083,0.0,0.0,0.0,10036.223999999998,9.800999999999998,10036.22400000001,9.801000000000009,11.40112,0.9183734490150013,0.0,0.06810907419899313,0.0,0.007938810000000017,0.0,0.07604788419899315,0.0,0.9239521158010083,1
0.0,receiver,feedback,reference_manifest,reference_manifest,0.7484012137988159,0.9239521158010083,0.0,0.0,0.0,1847.335133952001,1.8040382167500009,937.4585932800017,0.9154869075000016,11.8192,0.9183734490150013,0.0,0.06810907419899313,0.0,0.007938810000000017,0.0,0.07604788419899315,0.0,0.9239521158010083,2
0.02,sender,one_way,reference_manifest,reference_manifest,0.61417924002864,0.7548188792760032,0.004519768227513766,0.014610251658315676,0.002775947815079998,10036.224000000033,9.801000000000032,10036.224000000037,9.801000000000036,11.40112,0.0,0.0,0.20223424000000073,0.0,0.007624433124000042,0.035322447600000084,0.20985867312400072,0.0,0.7548188792760032,1
0.02,sender,feedback,reference_manifest,reference_manifest,0.6944287383746476,0.8566101679324679,0.0008273020939429151,0.0030236965755340984,0.0005745023493514827,9372.740669298246,9.153067059861568,10192.275176777295,9.953393727321577,11.90112,0.12891315014758492,0.0,0.0656975804750222,0.0,0.008652627958913828,0.06903962363360051,0.07435020843393601,0.0,0.8566101679324679,2
0.02,receiver,one_way,reference_manifest,reference_manifest,0.6952393393680415,0.8576383627673816,0.0007943531028715006,0.002906660665607011,0.000552265526465336,10036.224000000033,9.801000000000032,10036.224000000037,9.801000000000036,11.40112,0.8522806111861007,0.0,0.06569758047502218,0.0,0.007624433124000042,0.0690396236336005,0.07332201359902221,0.0,0.8576383627673816,1
0.02,receiver,feedback,reference_manifest,reference_manifest,0.6952393393680415,0.8576383627673816,0.0007943531028715006,0.002906660665607011,0.000552265526465336,2171.2511824312182,2.1203624828429866,1297.7697033861161,1.267353225963004,11.8192,0.8522806111861007,0.0,0.06569758047502218,0.0,0.007624433124000042,0.0690396236336005,0.07332201359902221,0.0,0.8576383627673816,2
0.05,sender,one_way,reference_manifest,reference_manifest,0.5812828437240001,0.7093128264749988,0.011594104921579225,0.03547081199605251,0.006739454279249997,10036.224000000013,9.801000000000013,10036.224,9.801,11.40112,0.0,0.0,0.1964070999999997,0.0,0.007164776024999997,0.0871152974999997,0.20357187602499974,0.0,0.7093128264749988,1
0.05,sender,feedback,reference_manifest,reference_manifest,0.6206883207830041,0.764369915235612,0.0024951161320444105,0.008150997063985393,0.0015486894421572295,9060.650002419081,8.848291017987384,9739.450895068736,9.511182514715562,11.90112,0.11789065742829585,0.0,0.062162571071923,0.0,0.007720908234703162,0.16574660545775982,0.06988347930662617,0.0,0.764369915235612,2
