parameter,value,evidence_assembly,required_evidence_set,interaction,artifact_format,finalizer,finalizer_available_probability,handoff_required,handoff_success_probability,handoff_delay_ms,handoff_control_bytes,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,finalization_failure_probability,expired_evidence_abstention_probability,deadline_abstention_probability,other_evidence_abstention_probability,mean_safe_world_total_traffic_kib,p95_action_ready_latency_ms
sender_finalizer_availability,0.9,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.9,False,1.0,0.0,0,0.47562077570040023,0.5729518565100002,0.02424152290303389,0.06068301014368425,0.06366131738999999,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
sender_finalizer_availability,0.9,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,64,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
sender_finalizer_availability,0.9,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.9,True,0.98,1.0,64,0.4510745324392985,0.5532970768240429,0.006437739227085343,0.015283685325387656,0.07402387195605105,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
sender_finalizer_availability,0.9,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
sender_finalizer_availability,0.95,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.95,False,1.0,0.0,0,0.5020441521282001,0.604782515205,0.0242415229030339,0.06405428848500004,0.03183065869500003,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
sender_finalizer_availability,0.95,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,64,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
sender_finalizer_availability,0.95,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.95,True,0.98,1.0,64,0.4761342286859261,0.5840358033142673,0.00643773922708535,0.01613277895457587,0.04328514546582653,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
sender_finalizer_availability,0.95,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
sender_finalizer_availability,0.98,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.98,False,1.0,0.0,0,0.5178981779848801,0.623880910422,0.024241522903033913,0.06607705548978957,0.01273226347800001,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
sender_finalizer_availability,0.98,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,64,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
sender_finalizer_availability,0.98,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.98,True,0.98,1.0,64,0.4911700464339025,0.602479039208402,0.006437739227085351,0.01664223513208879,0.024841909571691783,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
sender_finalizer_availability,0.98,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
sender_finalizer_availability,0.995,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
sender_finalizer_availability,0.995,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,64,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
