finalizer,interaction,parameter,metric,spearman_rank_correlation,absolute_rank_correlation,sample_count
sender,one_way,evidence_availability,timely_safe_world_coverage,0.8472665366134254,0.8472665366134254,64
sender,one_way,evidence_availability,mean_safe_world_evidence_traffic_kib,0.6017399267399266,0.6017399267399266,64
sender,one_way,conditional_validity,timely_safe_world_coverage,0.17168530798982456,0.17168530798982456,64
sender,one_way,conditional_validity,mean_safe_world_evidence_traffic_kib,0.25434981684981683,0.25434981684981683,64
sender,one_way,evidence_relation_error,timely_safe_world_coverage,-0.3190340173297301,0.3190340173297301,64
sender,one_way,evidence_relation_error,mean_safe_world_evidence_traffic_kib,-0.025869963369963365,0.025869963369963365,64
sender,one_way,endpoint_correlation,timely_safe_world_coverage,-0.05919155773327774,0.05919155773327774,64
sender,one_way,endpoint_correlation,mean_safe_world_evidence_traffic_kib,-0.07875457875457874,0.07875457875457874,64
sender,one_way,forward_delivery_success,timely_safe_world_coverage,0.1474403726116566,0.1474403726116566,64
sender,one_way,forward_delivery_success,mean_safe_world_evidence_traffic_kib,0.16108058608058606,0.16108058608058606,64
sender,one_way,reverse_delivery_success,timely_safe_world_coverage,0.016934789456017132,0.016934789456017132,64
sender,one_way,reverse_delivery_success,mean_safe_world_evidence_traffic_kib,0.1883241758241758,0.1883241758241758,64
sender,one_way,visual_record_kib,timely_safe_world_coverage,0.3434622792514002,0.3434622792514002,64
sender,one_way,visual_record_kib,mean_safe_world_evidence_traffic_kib,0.9747252747252746,0.9747252747252746,64
sender,one_way,radio_record_kib,timely_safe_world_coverage,-0.032952946194523186,0.032952946194523186,64
sender,one_way,radio_record_kib,mean_safe_world_evidence_traffic_kib,-0.11813186813186811,0.11813186813186811,64
sender,one_way,link_rate_mbps,timely_safe_world_coverage,-0.12715987373672405,0.12715987373672405,64
sender,one_way,link_rate_mbps,mean_safe_world_evidence_traffic_kib,-0.12967032967032965,0.12967032967032965,64
sender,one_way,fixed_per_message_latency_ms,timely_safe_world_coverage,-0.06686835674243301,0.06686835674243301,64
sender,one_way,fixed_per_message_latency_ms,mean_safe_world_evidence_traffic_kib,-0.045604395604395595,0.045604395604395595,64
sender,one_way,processing_time_ms,timely_safe_world_coverage,-0.07910540352120587,0.07910540352120587,64
sender,one_way,processing_time_ms,mean_safe_world_evidence_traffic_kib,0.1345238095238095,0.1345238095238095,64
sender,one_way,decision_deadline_ms,timely_safe_world_coverage,0.04083598756511844,0.04083598756511844,64
sender,one_way,decision_deadline_ms,mean_safe_world_evidence_traffic_kib,0.022115384615384613,0.022115384615384613,64
sender,one_way,visual_initial_age_ms,timely_safe_world_coverage,-0.12101843452939982,0.12101843452939982,64
sender,one_way,visual_initial_age_ms,mean_safe_world_evidence_traffic_kib,0.04235347985347985,0.04235347985347985,64
sender,one_way,radio_initial_age_ms,timely_safe_world_coverage,0.021861690312639168,0.021861690312639168,64
sender,one_way,radio_initial_age_ms,mean_safe_world_evidence_traffic_kib,0.08717948717948716,0.08717948717948716,64
sender,one_way,record_ttl_ms,timely_safe_world_coverage,0.19354699830246372,0.19354699830246372,64
sender,one_way,record_ttl_ms,mean_safe_world_evidence_traffic_kib,-0.12138278388278387,0.12138278388278387,64
sender,feedback,evidence_availability,timely_safe_world_coverage,0.45669447259253304,0.45669447259253304,64
sender,feedback,evidence_availability,mean_safe_world_evidence_traffic_kib,0.5430860805860805,0.5430860805860805,64
sender,feedback,conditional_validity,timely_safe_world_coverage,0.09642425166943891,0.09642425166943891,64
sender,feedback,conditional_validity,mean_safe_world_evidence_traffic_kib,0.23388278388278386,0.23388278388278386,64
sender,feedback,evidence_relation_error,timely_safe_world_coverage,-0.6231285191853759,0.6231285191853759,64
sender,feedback,evidence_relation_error,mean_safe_world_evidence_traffic_kib,-0.11762820512820511,0.11762820512820511,64
sender,feedback,endpoint_correlation,timely_safe_world_coverage,-0.20302381145930692,0.20302381145930692,64
