sample_id,finalizer,coverage_floor,selective_risk_ceiling,selected_interaction,selection_basis,baseline_selection,ordering_reversal
0,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
0,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
1,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
1,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
2,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
2,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
3,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
3,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
4,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
4,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
5,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
5,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
6,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
6,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
7,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
7,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
8,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
8,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
9,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
9,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
10,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
10,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
11,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
11,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
12,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
12,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
13,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
13,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
14,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
14,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
15,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
15,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
16,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
16,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
17,sender,0.6,0.0075,feedback,minimum_traffic_feasible,infeasible,False
17,receiver,0.6,0.0075,feedback,minimum_traffic_feasible,infeasible,False
18,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
18,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
19,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
19,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
20,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
20,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
21,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
21,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
22,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
22,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
23,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
23,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
24,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
24,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
25,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
25,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
26,sender,0.6,0.0075,feedback,minimum_traffic_feasible,infeasible,False
26,receiver,0.6,0.0075,feedback,minimum_traffic_feasible,infeasible,False
27,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
27,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
28,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
28,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
29,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
29,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
30,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
30,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
31,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
31,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
32,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
32,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
33,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
33,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
34,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
34,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
35,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
35,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
36,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
36,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
37,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
37,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
38,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
38,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
39,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
39,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
40,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
40,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
41,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
41,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
42,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
42,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
43,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
43,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
44,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
44,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
45,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
45,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
46,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
46,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
47,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
47,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
48,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
48,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
49,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
49,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
50,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
50,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
51,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
51,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
52,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
52,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
53,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
53,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
54,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
54,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
55,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
55,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
56,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
56,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
57,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
57,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
58,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
58,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
59,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
59,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
60,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
60,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
61,sender,0.6,0.0075,feedback,minimum_traffic_feasible,infeasible,False
61,receiver,0.6,0.0075,feedback,minimum_traffic_feasible,infeasible,False
62,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
62,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
63,sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
63,receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,infeasible,False
