finalizer,coverage_floor,selective_risk_ceiling,selected_interaction,selection_basis,one_way_coverage,feedback_coverage,one_way_selective_risk,feedback_selective_risk,one_way_traffic_kib,feedback_traffic_kib
sender,0.5,0.001,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.5,0.002,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.5,0.003,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.5,0.004,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.5,0.005,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.5,0.0075,feedback,minimum_traffic_feasible,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.5,0.01,feedback,minimum_traffic_feasible,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.55,0.001,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.55,0.002,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.55,0.003,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.55,0.004,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.55,0.005,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.55,0.0075,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.55,0.01,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.6,0.001,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.6,0.002,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.6,0.003,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.6,0.004,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.6,0.005,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.6,0.0075,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.6,0.01,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.625,0.001,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.625,0.002,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.625,0.003,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.625,0.004,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.625,0.005,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.625,0.0075,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.625,0.01,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.65,0.001,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.65,0.002,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.65,0.003,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.65,0.004,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.65,0.005,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.65,0.0075,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.65,0.01,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.675,0.001,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.675,0.002,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.675,0.003,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.675,0.004,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.675,0.005,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.675,0.0075,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.675,0.01,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.7,0.001,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.7,0.002,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.7,0.003,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.7,0.004,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.7,0.005,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.7,0.0075,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.7,0.01,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.725,0.001,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.725,0.002,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.725,0.003,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.725,0.004,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.725,0.005,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.725,0.0075,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
sender,0.725,0.01,infeasible,no_communication_case_meets_requirements,0.5284675285560001,0.5115928239419154,0.024241522903033896,0.006621649577619159,9.801000000000062,8.916640329990805
receiver,0.5,0.001,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.5,0.002,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.5,0.003,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
