finalizer,receiver_evidence_availability,fixed_per_message_latency_ms,decision_deadline_ms,coverage_tolerance_pp,one_way_timely_coverage,feedback_timely_coverage,feedback_minus_one_way_coverage_pp,one_way_evidence_traffic_kib,feedback_evidence_traffic_kib,one_way_selective_risk,feedback_selective_risk,feedback_traffic_saving_percent,selected_interaction,selection_basis,baseline_operating_point
sender,0.4,0.0,33.0,0.25,0.6366131739000016,0.5925215657697807,-4.409160813022095,9.801000000000013,7.420729659505739,0.02424152290303391,0.015662271531362647,32.59569510217815,one_way,coverage,False
receiver,0.4,0.0,33.0,0.25,0.5920761959906875,0.5920761959906875,0.0,9.801000000000013,6.371017967683797,0.015568265549214508,0.015568265549214508,31.539826291230533,feedback,traffic_within_coverage_tolerance,False
sender,0.4,0.5,33.0,0.25,0.6366131739000016,0.5925215657697807,-4.409160813022095,9.801000000000013,7.420729659505739,0.02424152290303391,0.015662271531362647,32.59569510217815,one_way,coverage,False
receiver,0.4,0.5,33.0,0.25,0.5920761959906875,0.5920761959906875,0.0,9.801000000000013,6.371017967683797,0.015568265549214508,0.015568265549214508,31.539826291230533,feedback,traffic_within_coverage_tolerance,False
sender,0.4,1.0,33.0,0.25,0.6366131739000016,0.5925215657697807,-4.409160813022095,9.801000000000013,7.420729659505739,0.02424152290303391,0.015662271531362647,32.59569510217815,one_way,coverage,False
receiver,0.4,1.0,33.0,0.25,0.5920761959906875,0.5920761959906875,0.0,9.801000000000013,6.371017967683797,0.015568265549214508,0.015568265549214508,31.539826291230533,feedback,traffic_within_coverage_tolerance,False
sender,0.4,2.0,33.0,0.25,0.6366131739000016,0.592243737225163,-4.436943667483861,9.801000000000013,7.420729659505739,0.02424152290303391,0.015612762735253083,32.59569510217815,one_way,coverage,False
receiver,0.4,2.0,33.0,0.25,0.5920761959906875,0.5920761959906875,0.0,9.801000000000013,6.371017967683797,0.015568265549214508,0.015568265549214508,31.539826291230533,feedback,traffic_within_coverage_tolerance,False
sender,0.4,3.0,33.0,0.25,0.6366131739000016,0.0,-63.661317390000164,9.801000000000013,7.420729659505739,0.02424152290303391,0.0,32.59569510217815,one_way,coverage,False
receiver,0.4,3.0,33.0,0.25,0.5920761959906875,0.0,-59.20761959906875,9.801000000000013,6.371017967683797,0.015568265549214508,0.0,31.539826291230533,one_way,coverage,False
sender,0.4,4.0,33.0,0.25,0.6366131739000016,0.0,-63.661317390000164,9.801000000000013,7.420729659505739,0.02424152290303391,0.0,32.59569510217815,one_way,coverage,False
receiver,0.4,4.0,33.0,0.25,0.5920761959906875,0.0,-59.20761959906875,9.801000000000013,6.371017967683797,0.015568265549214508,0.0,31.539826291230533,one_way,coverage,False
sender,0.4,5.0,33.0,0.25,0.0,0.0,0.0,9.801000000000013,7.420729659505739,0.0,0.0,32.59569510217815,feedback,traffic_within_coverage_tolerance,False
receiver,0.4,5.0,33.0,0.25,4.1027551645591944e-05,0.0,-0.004102755164559194,9.801000000000013,6.371017967683797,0.024241522903033906,0.0,31.539826291230533,feedback,traffic_within_coverage_tolerance,False
sender,0.4,6.0,33.0,0.25,0.0,0.0,0.0,9.801000000000013,7.420729659505739,0.0,0.0,32.59569510217815,feedback,traffic_within_coverage_tolerance,False
receiver,0.4,6.0,33.0,0.25,0.0,0.0,0.0,9.801000000000013,6.371017967683797,0.0,0.0,31.539826291230533,feedback,traffic_within_coverage_tolerance,False
sender,0.4,7.0,33.0,0.25,0.0,0.0,0.0,9.801000000000013,7.420729659505739,0.0,0.0,32.59569510217815,feedback,traffic_within_coverage_tolerance,False
receiver,0.4,7.0,33.0,0.25,0.0,0.0,0.0,9.801000000000013,6.371017967683797,0.0,0.0,31.539826291230533,feedback,traffic_within_coverage_tolerance,False
sender,0.4,8.0,33.0,0.25,0.0,0.0,0.0,9.801000000000013,7.420729659505739,0.0,0.0,32.59569510217815,feedback,traffic_within_coverage_tolerance,False
