finalizer,coverage_floor,selective_error_ceiling,one_way_cells,feedback_cells,infeasible_cells,all_three_classes_present
sender,0.38,0.005,0,0,2673,False
sender,0.38,0.0075,0,675,1998,False
sender,0.38,0.01,0,675,1998,False
sender,0.4,0.005,0,0,2673,False
sender,0.4,0.0075,0,675,1998,False
sender,0.4,0.01,0,675,1998,False
sender,0.42,0.005,0,0,2673,False
sender,0.42,0.0075,0,675,1998,False
sender,0.42,0.01,0,675,1998,False
receiver,0.38,0.005,0,81,2592,False
receiver,0.38,0.0075,441,836,1396,True
receiver,0.38,0.01,441,836,1396,True
receiver,0.4,0.005,0,81,2592,False
receiver,0.4,0.0075,441,836,1396,True
receiver,0.4,0.01,441,836,1396,True
receiver,0.42,0.005,0,81,2592,False
receiver,0.42,0.0075,441,836,1396,True
receiver,0.42,0.01,441,836,1396,True
